n,m,r,q
21,2,-1.1996649761766103e-14,-4.603789315968802e-14
21,3,5.2770720366855253e-14,-5.166359004871738e-14
21,4,-4.0544136419255096e-16,2.17047640796002e-14
21,5,1.3838232277984942e-14,1.1979190258066954e-14
21,6,-5.174655017536305e-15,-4.3807620991261096e-15
21,7,5.889028842443169e-15,3.6074757329366325e-15
21,8,8.657629764845899e-15,2.7622699749363545e-14
21,9,-1.1666377858919153e-14,2.585420054812678e-15
21,10,3.311169089248799e-14,-1.114490746610647e-14
21,11,2.8842918153941136e-15,3.064370998265273e-14
21,12,-5.756067485226249e-15,-9.594758418580855e-15
21,13,1.8754816734398494e-14,-1.5595278619671927e-16
21,14,-3.2728976953260934e-15,1.5886580664546937e-14
21,15,2.9195405414828557e-16,-1.481128861591444e-15
21,16,-4.1987917316469446e-15,9.924840676061271e-15
21,17,1.6143671791491534e-16,1.404894845713244e-15
21,18,5.794725362952218e-15,9.41009135680451e-15
21,19,-1.0462653181694206e-14,1.728080280998173e-14
21,20,-4.000880531617078e-17,-1.1364123568678307e-14
21,21,1.3053159984939977e-14,1.603044303387485e-14
22,0,1.8688738523023818e-14,0.0
22,1,1.5028797378273577e-13,1.128216471312712e-14
22,2,-1.147749109117464e-14,-4.40455893178447e-14
22,3,5.0487051377941034e-14,-4.942783246136527e-14
22,4,-3.878957657282338e-16,2.0765483806454367e-14
22,5,1.3239378563369462e-14,1.1460787152813284e-14
22,6,-4.950720246327472e-15,-4.1911832856470235e-15
22,7,5.634179326484016e-15,3.45136112236667e-15
22,8,8.282968201122061e-15,2.6427319008506143e-14
22,9,-1.1161511805468369e-14,2.4735352148588724e-15
22,10,3.1678772388893297e-14,-1.0662608202656362e-14
22,11,2.759473209015344e-15,2.9317594104260836e-14
22,12,-5.506971912478206e-15,-9.179542327075707e-15
22,13,1.7943196330671426e-14,-1.492038818972072e-16
22,14,-3.1312620511896247e-15,1.5199084049922417e-14
22,15,2.793196535751794e-16,-1.4170325592046631e-15
22,16,-4.017087741217924e-15,9.495340174376414e-15
22,17,1.5445049480082e-16,1.3440975935715835e-15
22,18,5.54395685877693e-15,9.002866788616096e-15
22,19,-1.0009878680101333e-14,1.65329708075692e-14
22,20,-3.8277412086196375e-17,-1.0872337661653245e-14
22,21,1.2488280512806293e-14,1.5336720731421514e-14
22,22,-1.5188708698278272e-14,5.012876204127101e-15
23,0,1.7914508289429805e-14,0.0
23,1,1.4406189849655045e-13,1.0814771314127539e-14
23,2,-1.100200578232697e-14,-4.2220884730944455e-14
23,3,4.839549225351642e-14,-4.738015427134388e-14
23,4,-3.718261616220008e-16,1.9905218927775836e-14
23,5,1.269090242384142e-14,1.0985993848623046e-14
23,6,-4.745623616180359e-15,-4.017552475291141e-15
23,7,5.400768603193074e-15,3.3083793943760272e-15
23,8,7.939824419785187e-15,2.5332497689024776e-14
23,9,-1.0699116771059599e-14,2.3710625014200343e-15
23,10,3.036639577682778e-14,-1.0220881564483655e-14
23,11,2.6451547607915477e-15,2.810303552376636e-14
23,12,-5.278831091473033e-15,-8.799255600316579e-15
23,13,1.7199852146717845e-14,-1.430227179736982e-16
23,14,-3.0015412706056413e-15,1.4569421947266893e-14
23,15,2.677481009865181e-16,-1.358328251903678e-15
23,16,-3.850669297489408e-15,9.101970689742382e-15
23,17,1.480519761142307e-16,1.288414809387833e-15
23,18,5.3142838389250005e-15,8.629899311534703e-15
23,19,-9.595193082183907e-15,1.584804893151118e-14
23,20,-3.669166943886038e-17,-1.0421922428055509e-14
23,21,1.1970920588983401e-14,1.470135666659573e-14
23,22,-1.4559476421901132e-14,4.805204599662316e-15
23,23,2.2464148798869125e-15,-7.339078862705214e-15
24,0,1.7202750870331552e-14,0.0
24,1,1.383382066481507e-13,1.0385091995314025e-14
24,2,-1.0564887491720381e-14,-4.0543415974189734e-14
24,3,4.647270151285866e-14,-4.549770370246353e-14
24,4,-3.5705321754374004e-16,1.9114369018767792e-14
24,5,1.2186682949363808e-14,1.0549511724659925e-14
24,6,-4.557076279993787e-15,-3.857931974705466e-15
24,7,5.186191844509516e-15,3.1769348946948205e-15
24,8,7.624368988588451e-15,2.432601775202916e-14
24,9,-1.0274032497655709e-14,2.2768583346482824e-15
24,10,2.915991513352797e-14,-9.814797949699866e-15
24,11,2.5400606942819287e-15,2.6986479952714226e-14
24,12,-5.06909900545539e-15,-8.449654296452573e-15
24,13,1.651648857485566e-14,-1.3734031357985609e-16
24,14,-2.8822876894541175e-15,1.3990567423581265e-14
24,15,2.571102596208655e-16,-1.3043608085754316e-15
24,16,-3.69767919601958e-15,8.740342278726408e-15
24,17,1.4216975536281675e-16,1.2372250817859352e-15
24,18,5.103143187535723e-15,8.287026665419155e-15
24,19,-9.213968559937083e-15,1.521839355816829e-14
24,20,-3.523388072815272e-17,-1.0007851302597279e-14
24,21,1.1495306555654207e-14,1.411726027337052e-14
24,22,-1.3981017041713252e-14,4.614290064424265e-15
24,23,2.1571630605625923e-15,-7.047491522127201e-15
24,24,-1.8145348068849922e-16,7.142022874813398e-15
25,0,1.65461678489908e-14,0.0
25,1,1.330582070496822e-13,9.988720791046651e-15
25,2,-1.0161653973911193e-14,-3.899598215058433e-14
